map,condition,condition_label,seed,archive_elites,recovered_elites,unmatched_elites,ambiguous_elites,descriptor_tiebreaks,common_grid_cells,common_occupied_cells,common_coverage,common_coverage_percent,common_qd_score,common_raw_qd_score,common_mean_pairwise_distance,mean_path_efficiency,mean_loop_score_clipped,mean_food_collected,loop_fraction,near_still_fraction
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,264,264,0,8,1,512,73,0.142578125,14.2578125,1561.0819999999972,1196.0819999999972,0.3756084646248048,0.12921715583630117,6.481073994261423,3.0946969696969697,0.9924242424242424,0.0
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1002,272,272,0,9,1,512,80,0.15625,15.625,1755.234999999997,1355.234999999997,0.4334958083961266,0.1343786916312253,5.079474230469067,3.139705882352941,0.9669117647058824,0.0
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1003,240,240,0,8,1,512,75,0.146484375,14.6484375,1495.7939999999971,1120.7939999999971,0.42048491764157947,0.14481965838392716,6.527522666405216,3.2875,0.975,0.0
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1004,308,308,0,7,2,512,70,0.13671875,13.671875,1331.489999999997,981.4899999999972,0.33454014639048935,0.13427491982885026,8.82538920141738,3.2987012987012987,0.9967532467532467,0.0
horseshoe,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1005,151,151,0,1,0,512,52,0.1015625,10.15625,1166.2659999999987,906.2659999999985,0.35642786371471075,0.11895668632863925,4.213010891956314,3.4304635761589406,1.0,0.0
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1001,192,192,0,4,4,512,61,0.119140625,11.9140625,1382.632999999997,1077.632999999997,0.4190783740770184,0.1159924230331096,6.3204603288760595,3.9895833333333335,1.0,0.0
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1002,208,208,0,8,8,512,69,0.134765625,13.4765625,1493.4989999999968,1148.4989999999968,0.42295683465876355,0.10721249887905936,6.9716904702114295,3.3076923076923075,1.0,0.0
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1003,212,212,0,7,7,512,67,0.130859375,13.0859375,1470.093999999997,1135.093999999997,0.36788704374504966,0.1434120411405808,6.083901081170719,3.3160377358490565,0.9811320754716981,0.0
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,177,177,0,10,10,512,65,0.126953125,12.6953125,1272.6499999999978,947.6499999999976,0.3962492906374369,0.12941278513596968,5.8943727677664395,2.689265536723164,1.0,0.0
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1005,192,192,0,9,9,512,65,0.126953125,12.6953125,1358.3249999999973,1033.3249999999973,0.4715590526038965,0.1311868653617628,5.36850686517489,3.0520833333333335,0.9895833333333334,0.0
open_robustness,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1001,277,277,0,15,1,512,65,0.126953125,12.6953125,1301.6199999999983,976.6199999999985,0.4276279481269327,0.114610077987905,3.586446375832,4.205776173285199,0.9675090252707581,0.0
open_robustness,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1002,258,258,0,22,2,512,84,0.1640625,16.40625,1726.3079999999977,1306.3079999999977,0.47731707735078477,0.14325098775078235,4.841695130857963,3.5813953488372094,0.937984496124031,0.0
open_robustness,baseline_b_learned_bd_euclidean,Baseline B: learned BD Euclidean,1003,285,285,0,8,0,512,79,0.154296875,15.4296875,1692.4549999999983,1297.4549999999983,0.3924843533117028,0.11535266357127058,6.1512840557108,4.410526315789474,0.9754385964912281,0.0
open_robustness,contribution_geodesic_niching,Contribution: geodesic niching,1001,264,264,0,13,13,512,75,0.146484375,14.6484375,1550.3769999999984,1175.3769999999984,0.4332490368223291,0.10366411816586069,4.340716607902826,4.03030303030303,0.9696969696969697,0.0
open_robustness,contribution_geodesic_niching,Contribution: geodesic niching,1002,196,196,0,7,7,512,63,0.123046875,12.3046875,1382.0329999999983,1067.0329999999983,0.41323351783939344,0.11492773325295894,4.36077692396934,5.025510204081633,0.9846938775510204,0.0
open_robustness,contribution_geodesic_niching,Contribution: geodesic niching,1003,198,198,0,6,6,512,64,0.125,12.5,1397.4639999999984,1077.4639999999981,0.4058038415769309,0.10935314292987379,4.079261701018547,4.015151515151516,0.9797979797979798,0.0
